City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Urusha,RU,2020-02-17 03:14:57,54.05,122.9,15.13,83,42,2.71
187,Bojnurd,IR,2020-02-17 03:14:57,37.47,57.33,32.0,54,99,2.24
188,Luba,GQ,2020-02-17 03:14:58,3.46,8.55,82.4,88,20,9.17
189,Cedar City,US,2020-02-17 03:14:18,37.68,-113.06,48.2,39,90,3.36
190,Ostrovnoy,RU,2020-02-17 03:14:58,68.05,39.51,30.9,90,100,34.0
191,Mount Gambier,AU,2020-02-17 03:14:59,-37.83,140.77,73.4,60,0,6.93
192,Cayenne,GF,2020-02-17 03:14:59,4.93,-52.33,78.8,83,75,9.17
193,Leshukonskoye,RU,2020-02-17 03:14:59,64.9,45.76,31.17,92,100,19.53
194,San Quintin,MX,2020-02-17 03:14:59,30.48,-115.95,58.39,78,99,9.57
195,Omsukchan,RU,2020-02-17 03:14:59,62.53,155.8,-16.33,95,0,3.94
196,Casper,US,2020-02-17 03:13:54,42.87,-106.31,35.01,74,90,16.11
197,Praxedis Guerrero,MX,2020-02-17 03:15:00,31.37,-106.02,64.4,18,1,12.75
198,Port Hardy,CA,2020-02-17 03:15:00,50.7,-127.42,37.4,93,75,6.93
199,Jojoima,SL,2020-02-17 03:15:01,7.88,-10.79,68.99,99,10,1.32
200,Kavieng,PG,2020-02-17 03:15:01,-2.57,150.8,83.53,75,28,10.87
201,Goundam,ML,2020-02-17 03:15:01,16.41,-3.67,71.24,9,40,10.33
202,College,US,2020-02-17 03:15:01,64.86,-147.8,-2.2,53,90,6.93
203,Fort Nelson,CA,2020-02-17 03:15:02,58.81,-122.7,-11.2,69,75,3.36
204,Mount Isa,AU,2020-02-17 03:15:02,-20.73,139.5,98.6,20,0,5.82
205,San Patricio,MX,2020-02-17 03:15:02,19.22,-104.7,77.0,73,20,6.93
206,Walsall,GB,2020-02-17 03:15:02,52.59,-1.98,44.01,70,40,12.75
207,Viedma,AR,2020-02-17 03:15:03,-40.81,-63.0,64.04,56,0,11.52
208,Constitucion,CL,2020-02-17 03:15:03,-35.33,-72.42,54.68,92,0,3.85
209,Riberalta,BO,2020-02-17 03:15:03,-10.98,-66.1,75.7,93,47,2.21
210,Salta,AR,2020-02-17 03:15:03,-24.79,-65.41,71.6,88,90,3.36
211,Fort Saint James,CA,2020-02-17 03:15:04,54.43,-124.25,19.08,93,61,3.8
212,Boa Vista,BR,2020-02-17 03:15:04,2.82,-60.67,86.0,55,56,12.75
213,San Jose,US,2020-02-17 03:11:08,37.34,-121.89,57.99,81,75,5.82
214,Mehamn,NO,2020-02-17 03:15:04,71.04,27.85,30.2,92,90,6.93
215,Tilichiki,RU,2020-02-17 03:15:04,60.47,166.1,-14.51,90,0,7.94
216,Valparaiso,CL,2020-02-17 03:15:05,-33.04,-71.63,59.0,93,40,5.82
217,Kortkeros,RU,2020-02-17 03:15:05,61.81,51.58,28.4,86,75,15.66
218,Olafsvik,IS,2020-02-17 03:15:05,64.89,-23.71,34.21,76,100,33.58
219,Taltal,CL,2020-02-17 03:15:05,-25.4,-70.48,61.9,93,44,2.21
220,Akyab,MM,2020-02-17 03:13:06,20.15,92.9,70.21,60,0,5.21
221,Alamos,MX,2020-02-17 03:15:06,27.02,-108.93,68.0,69,100,1.01
222,Dingle,PH,2020-02-17 03:15:06,11.0,122.67,83.43,69,62,14.05
223,Guanica,PR,2020-02-17 03:15:06,17.97,-66.91,79.0,78,75,10.29
224,Palatka,US,2020-02-17 03:12:54,29.65,-81.64,63.0,93,90,9.17
225,Casablanca,MA,2020-02-17 03:10:29,33.59,-7.62,59.0,100,75,5.82
226,Chebarkul,RU,2020-02-17 03:15:07,54.97,60.36,7.14,89,0,6.22
227,Kontagora,NG,2020-02-17 03:15:07,10.4,5.47,72.03,9,55,7.7
228,Adrian,US,2020-02-17 03:15:08,41.9,-84.04,33.8,79,1,5.82
229,Isla Mujeres,MX,2020-02-17 03:15:08,21.23,-86.73,77.0,78,20,4.7
